Kategori_Lowongan,Pekerjaan Lowongan,Title,Posisi,Gaji,Gaji Min,Gaji Max,Kualifikasi,Tahun Pengalaman,Umur,Pendidikan,Skill,Link
Lainnya,Lainnya,Engineer,Engineer,Rp 6.000.000 – Rp 8.000.000 per month,6000000,8000000,"Kidoh Construction cari Engineer Staff dengan JLPT N3, min. SMA/SMK. Jalur karier ke Supervisor.",N/A,N/A,"SMK,SMA",N/A,https://id.jobstreet.com/id/job/85167975
Recruitment,Recruitment,Recruitment & Personnel Admin Staff,Recruitment & Personnel Admin Staff,Rp 5.500.000 – Rp 6.000.000 per month,5500000,6000000,"Bergabung dengan perusahaan manufaktur terkemuka, kesempatan karir, lingkungan kerja dinamis dan gaji kompetitif.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85006753
Recruitment,Recruitment,Recruitment Staff,Recruitment Staff,Tidak dicantumkan,N/A,N/A,"Join our HC team to lead hiring and support people development through onboarding, training, and talent pipeline coordination",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85038218
Admin,Admin,Activity Admin,Activity Admin,Tidak dicantumkan,N/A,N/A,Activity Admin,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84966405
Production,Production,D3 PRODUCTION ENGINEERING (CODE : PE DBD),D3 PRODUCTION ENGINEERING (CODE : PE DBD),Tidak dicantumkan,N/A,N/A,"Exciting Production Engineer role at leading renewable energy manufacturer. Competitive salary, career development, and great culture.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85681561
Akuntan,Akuntan,Accounting,Accounting,Tidak dicantumkan,N/A,N/A,"Akuntan berpengalaman di akuntansi & perpajakan, Brevet A&B nilai plus. Paham fintech & crypto. Detail-oriented & compliance-driven.",N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85557824
Admin,Admin,OCEAN EXPORT ADMIN,OCEAN EXPORT ADMIN,Tidak dicantumkan,N/A,N/A,Sebagai admin ocean export untuk handle dokumen ocean export,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85452794
Legal,Legal,Legal Relationship Officer (3-months contract),Legal Relationship Officer (3-months contract),Tidak dicantumkan,N/A,N/A,"Handle licensing, collaboration, and oversee ongoing projects with local residents, customary leaders, and local government for ongoing projects.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85034477
Admin,Admin,Accounting and Logistic Admin Assistant for Cosmetic Company,Accounting and Logistic Admin Assistant for Cosmetic Company,Rp 5.310.000 – Rp 6.000.000 per month,5310000,6000000,"Detail-oriented Accounting & Logistic Admin Assistant needed. Xero, admin support, BPJS, e-commerce tasks. Office + local errands.",N/A,N/A,N/A,accounting,https://id.jobstreet.com/id/job/85122872
Lainnya,Lainnya,Marketplace Officer,Marketplace Officer,Tidak dicantumkan,N/A,N/A,"Marketplace Officer bertugas memenuhi kebutuhan customer dengan cara mengelola aplikasi e-commerce, rekapan penjualan, dan costumer service.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84863116
Lainnya,Lainnya,Jr. Researcher,Jr. Researcher,Tidak dicantumkan,N/A,N/A,Are you passionate about advancing sustainable forestry through science? We're looking for a motivated researcher to lead innovative in tree breeding,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84859190
Lainnya,Lainnya,Supervisor Akutansi,Supervisor Akutansi,Tidak dicantumkan,N/A,N/A,"Selain dapat gaji tiap bulan, juga mendapatkan bonus sesuai kinerja.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85595860
Akuntan,Akuntan,Accounting,Accounting,Rp 4.700.000 – Rp 6.700.000 per month,4700000,6700000,Posisi Accounting berperan dalam menjaga kestabilan sistem akuntansi perusahaan,N/A,N/A,N/A,"accounting,erp",https://id.jobstreet.com/id/job/85056556
Lainnya,Lainnya,Research & Development Staff,Research & Development Staff,Tidak dicantumkan,N/A,N/A,"Join our R&D team to elevate plastic-based building materials products. Explore, test, improve, and optimize our ongoing improvement!",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85039796
Management,Management,Junior Quantity Surveyor,Junior Quantity Surveyor,Rp 5.000.000 – Rp 7.000.000 per month,5000000,7000000,"Measurement and Cost Estimation. 
Budget Control & Procurement.
Tendering & Vendor Management.
Administration & Reporting.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85013447
Lainnya,Lainnya,老板助理 (Personal Assistant),老板助理 (Personal Assistant),Rp 7.500.000 – Rp 10.000.000 per month,7500000,10000000,"Well-rounded PA role supporting boss of leading electrical firm. Competitive salary, great benefits and team culture.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85623171
Management,Management,Treasury Admin,Treasury Admin,Tidak dicantumkan,N/A,N/A,"Proficiency in MS Office (Excel, Word) Banking and treasury management software.
Excellent organizational skills and attention to detail.
Ability...",N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85658029
Lainnya,Lainnya,CEO OFFICE SPECIALIST,CEO OFFICE SPECIALIST,Tidak dicantumkan,N/A,N/A,"Hi good people! Kideco is currently opening job vacancies for the CEO OFFICE SPECIALIST , let's join us for a great opportunity",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85224715
Audit,Audit,Internal Control Staff,Internal Control Staff,Rp 5.067.381 – Rp 7.500.000 per month,5067381,7500000,Internal Audit,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84908039
Lainnya,Lainnya,Personal Assistant to Managing Director,Personal Assistant to Managing Director,Rp 5.000.000 – Rp 6.000.000 per month,5000000,6000000,"manage communications, organize schedules, and handling inquiries, scheduling meetings, arranging complex travel, maintaining documentation.",N/A,N/A,N/A,communication,https://id.jobstreet.com/id/job/85274332
Lainnya,Lainnya,Bussiness Development Staff,Bussiness Development Staff,Tidak dicantumkan,N/A,N/A,"Exciting BD opportunity at manufacturing - showcase skills, drive growth and be a key contributor. Competitive salary and benefits.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85066911
Lainnya,Lainnya,PERSONAL ASSISTANT,PERSONAL ASSISTANT,Tidak dicantumkan,N/A,N/A,Kesempatan bergabung dengan tim dinamis PT Luxen Makmur Sejahtera. Tunjangan komprehensif dan peluang karier.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84981556
Admin,Admin,Admin Piutang,Admin Piutang,Tidak dicantumkan,N/A,N/A,administrasi piutang,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85684279
Lainnya,Lainnya,Staff Export - Import,Staff Export - Import,Tidak dicantumkan,N/A,N/A,Lamar posisi ini sekarang dan bergabunglah dengan tim kami yang solid dan dinamis di PT. Fumakilla Indonesia!,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85152726
Finance,Finance,Admin finance,Admin finance,Rp 3.500.000 – Rp 5.250.000 per month,3500000,5250000,"ini kesempatan Anda!Bergabunglah PT.HOME LINK INTERNASIONAL distributor interior ternama, dan kembangkan karya Anda bersama tim dinamis dan suportif.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85107299
Lainnya,Lainnya,"Robotic Staff (Cakung, Jakarta Timur)","Robotic Staff (Cakung, Jakarta Timur)",Tidak dicantumkan,N/A,N/A,Join our dynamic team as Robotic Staff,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85683546
Lainnya,Lainnya,E-commerce Specialist,E-commerce Specialist,Rp 6.000.000 – Rp 9.000.000 per month,6000000,9000000,We are looking for an E-Commerce Specialist who can manage our clients e-commerce platforms. Could you be the one we’re looking for?,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84874038
Lainnya,Lainnya,Accounting Staff,Accounting Staff,Rp 5.000.000 – Rp 6.000.000 per month,5000000,6000000,Memastikan pengelolaan keuangan perusahaan yang efisien dan akurat.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85095246
Digital Marketing,Digital Marketing,E-Commerce Supervisor,E-Commerce Supervisor,Tidak dicantumkan,N/A,N/A,Menjalankan rencana taktis departemen digital marketing untuk meningkatkan penjualan dan performa bisnis,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85269065
Lainnya,Lainnya,Digital Transformation Engineer,Digital Transformation Engineer,Tidak dicantumkan,N/A,N/A,"Support digital technology adoption in manufacturing to boost safety, quality, efficiency, and overall performance.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85530089
Admin,Admin,Project Admin,Project Admin,Tidak dicantumkan,N/A,N/A,Melakukan koordinasi antar tim teknis dan non-teknis untuk memastikan alur komunikasi berjalan efektif.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85431617
Tax,Tax,ADMIN TAX,ADMIN TAX,Rp 3.500.000 – Rp 4.250.000 per month,3500000,4250000,Peluang menarik untuk Admin Pajak berpengalaman di PT Indodacin Presisi Utama. Gaji kompetitif dan lingkungan kerja dinamis.,N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85688453
Lainnya,Lainnya,Accounting,Accounting,Rp 4.000.000 – Rp 5.000.000 per month,4000000,5000000,"

- Posisi ini menawarkan kesempatan untuk berkembang dan meningkatkankan karir anda dalam lingkungan kerja yang mendukung.
",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84977278
Lainnya,Lainnya,Logistic Staff,Logistic Staff,Tidak dicantumkan,N/A,N/A,Resposibilty to handle all import duties.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85628209
Lainnya,Lainnya,Packing Machine Operator,Packing Machine Operator,Tidak dicantumkan,N/A,N/A,Menjaga hasil dan kinerja mesin packing maupun packing helper untuk memenuhi target produksi sesuai dengan standar yang sudah ditetapkan,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85194126
Inventory,Inventory,Staff Inventory,Staff Inventory,Tidak dicantumkan,N/A,N/A,Kandidat yang cocok yang memenuhi kriteria,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85615559
Business Development,Business Development,business development assistant,business development assistant,Rp 7.000.000 – Rp 9.000.000 per month,7000000,9000000,1-3 years business assistants or fresh graduate who is willing to study,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84957755
Lainnya,Lainnya,Staff Quality,Staff Quality,Tidak dicantumkan,N/A,N/A,Kami sedang mencari Staff Quality yang bisa bergabung segera,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85205586
Lainnya,Lainnya,DOCUMENT STAFF FOR EXPORT AND IMPORT,DOCUMENT STAFF FOR EXPORT AND IMPORT,Tidak dicantumkan,N/A,N/A,"Job Description: Handle export & imp; import documentation. Ensure the MBL, HBL, Packing list, invoice, PIB / PEB to shipper, consignee and agent....",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85124495
Retail,Retail,Merchandising Manager,Merchandising Manager,"Rp 10,000,000 – Rp 15,000,000 per month",10000000,15000000,KAMI PERUSAHAAN RETAIL TERBESAR DI SULAWESI TENGGARA MENCARI PROFESIONAL YANG MAHIR MENANGANI SISTEM PEMBELIAN DAN PENGELOLAAN WAREHOUSE,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84944902
Admin,Admin,Admin Stok & Data Product Toko,Admin Stok & Data Product Toko,"Rp 3,500,000 – Rp 4,500,000 per month",3500000,4500000,"Tdk buta warna, berkendara sendiri. Suka Detil & kerjaan Check Recheck +foto video pack/ product. Tugas seputar data stok, arsiping & tdk takut kotor
",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85039356
Lainnya,Lainnya,Junior Engineer,Junior Engineer,Tidak dicantumkan,N/A,N/A,Bergabunglah dengan kami untuk mengembangkan potensi diri Anda.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84906678
Admin,Admin,Executive Assistant,Executive Assistant,Tidak dicantumkan,N/A,N/A,"You will provide high-level administrative support to the Director by managing schedules, communications, confidential data, and operational tasks.",N/A,N/A,N/A,communication,https://id.jobstreet.com/id/job/85546938
Lainnya,Lainnya,STAFF PAJAK,STAFF PAJAK,Rp 4.000.000 – Rp 5.500.000 per month,4000000,5500000,"Pengumpulan, pengolahan, pelaporan data perpajakan, serta membantu dalam perhitungan, pembayaran, dan pelaporan pajak secara tepat waktu dan akurat.",N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85574042
Sales,Sales,ADMIN SUPPORT SALES,ADMIN SUPPORT SALES,Rp 3.000.000 – Rp 4.500.000 per month,3000000,4500000,"Kualifikasi : Usia maksimal 30 tahun Pendidikan minimal S1 Memiliki kemauan untuk belajar dan tegas Jujur, disiplin, teliti dan bertanggung jawab...",N/A,30,S1,N/A,https://id.jobstreet.com/id/job/85667828
Lainnya,Lainnya,Marketing Strategy,Marketing Strategy,Tidak dicantumkan,N/A,N/A,Membuat Konsep Marketing dan Strategy,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85373771
Lainnya,Lainnya,Staff Operasional,Staff Operasional,Tidak dicantumkan,N/A,N/A,"Jadilah bagian dari kami perjalanan yang mengubah industri. Kami tak hanya menawarkan pekerjaan, tetapi kesempatan untuk mengubah masa depan bersama. ",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85008996
Lainnya,Lainnya,Asisten Divisi,Asisten Divisi,Tidak dicantumkan,N/A,N/A,Terlaksananya pengawasan seluruh kegiatan operasional di lapangan dan penerapan sistem perkebunan kelapa sawit sesuai standar ISPO,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85162416
Finance,Finance,Accountant,Accountant,Tidak dicantumkan,N/A,N/A,"Manage finance, tax, payroll, and reporting; ensure compliance with PSAK and tax laws; handle banking, AR, and export-import admin.",N/A,N/A,N/A,"finance,tax",https://id.jobstreet.com/id/job/85258284
Maintenance,Maintenance,HSE & Maintenance Staff,HSE & Maintenance Staff,Tidak dicantumkan,N/A,N/A,HSE & Maintenance Staff,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85540855
Sales,Sales,Sales Staff,Sales Staff,Tidak dicantumkan,N/A,N/A,"PT Global Jet Cargo (J&amp;T Cargo) - Bekasi HQ sedang membuka lowongan untuk posisi Penuh waktu Sales Staff di Marga Mulya, Jawa Barat. Lamar...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85436319
Admin,Admin,Admin  E-commerce & Host Live,Admin  E-commerce & Host Live,Rp 3.200.000 – Rp 4.000.000 per month,3200000,4000000,Segera bergabung dengan perusahaan e-commerce yang sedang berkembang! Peluang karier menarik dengan gaji kompetitif dan tunjangan menarik.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85263408
Tax,Tax,Accounting & Tax Staff,Accounting & Tax Staff,Rp 5.000.000 – Rp 6.000.000 per month,5000000,6000000,We're currently seeking Accounting & Tax Staff who are passionate about tax regulations and financial statements.,N/A,N/A,N/A,"accounting,tax",https://id.jobstreet.com/id/job/85665655
Akuntan,Akuntan,ACCOUNTING,ACCOUNTING,Tidak dicantumkan,N/A,N/A,Kualifikasi : Minimal S1 Accounting Usia maksimal 30 tahun Pengalaman bekerja di Kantor Akuntan Publik di atas 5 tahun Bahasa Inggris Aktif...,N/A,30,S1,accounting,https://id.jobstreet.com/id/job/85665765
Finance,Finance,Finance Staff,Finance Staff,Rp 6.000.000 – Rp 8.000.000 per month,6000000,8000000,"Have an experience in a similar accounting role, preferably to Manufacturing Industry and Experience in managing Tax ( min 1 years or more)",1,N/A,N/A,"accounting,tax",https://id.jobstreet.com/id/job/85297474
Lainnya,Lainnya,Junior Accounting,Junior Accounting,Rp 4.500.000 – Rp 5.500.000 per month,4500000,5500000,"Bergabung dengan perusahaan terkemuka. Tunjangan kompetitif, lingkungan kerja nyaman, dan peluang pengembangan karir.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85034587
Lainnya,Lainnya,Akunting,Akunting,Tidak dicantumkan,N/A,N/A,"Menyiapkan laporan keuangan sesuai dengan SAK
Mencatat pemasukan dan pengeluaran kebutuhan pabrik
",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84980725
Lainnya,Lainnya,Staff HR,Staff HR,Rp 4.961.800 – Rp 6.000.000 per month,4961800,6000000,"Bergabunglah dengan tim kami di PT Prima Nusantara Permai, nikmati kompensasi kompetitif, pelatihan, dan budaya perusahaan yang dinamis.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85426216
Lainnya,Lainnya,Infra & Utility QS Officer,Infra & Utility QS Officer,Tidak dicantumkan,N/A,N/A,"Karir menjanjikan di perusahaan konstruksi terkemuka. Tunjangan kompetitif, peluang pengembangan diri.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85634828
Bidan,Bidan,STAF PEMBELIAN,STAF PEMBELIAN,Tidak dicantumkan,N/A,N/A,"Kualifikasi :  Usia maksimal 30 Tahun.  Kandidat harus memiliki setidaknya Gelar Sarjana, bidang apapun. Memiliki pengalaman di bagian pembelian...",N/A,30,Sarjana,N/A,https://id.jobstreet.com/id/job/85152153
Logistik,Logistik,Warehouse Delivery Admin,Warehouse Delivery Admin,Rp 3.750.000 – Rp 4.900.000 per month,3750000,4900000,"Perusahaan logistik terkemuka cari Warehouse Delivery Admin berpengalaman. Gaji kompetitif, lingkungan kerja positif.",N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85440110
Telemarketing,Telemarketing,Telemarketing,Telemarketing,Tidak dicantumkan,N/A,N/A,"Bergabung dengan tim Telemarketing PT Smartec, dapatkan paket kompensasi menarik dan lingkungan kerja kolaboratif.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84979492
Quality Control,Quality Control,Quality Control Supervisor,Quality Control Supervisor,Tidak dicantumkan,N/A,N/A,Mengimplementasi dan memonitor Sistem Manajemen Mutu yang meliputi sistem pengendalian mutu dan keamanan produk,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85122960
Lainnya,Lainnya,Customer Solution Associate (3-months contract),Customer Solution Associate (3-months contract),Tidak dicantumkan,N/A,N/A,"The Customer Solution Associate is responsible for executing initiatives that improve guest experiences, and operational excellence.",N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85511586
Consultant,Consultant,Travel Consultant Lampung,Travel Consultant Lampung,Tidak dicantumkan,N/A,N/A,"Melakukan seluruh proses penjualan product tour & travel, hotel, ticket pesawat, dokumen perjalanan, akomodasi perjalanan.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84963960
Lainnya,Lainnya,Assistant CEO,Assistant CEO,Rp13.000.000 – Rp15.000.000 per month,13000000,15000000,Selain gaji pokok akan ada komisi dan benefit lainnya.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84819315
